X,Y
265,125
484,15
320,369
123,156
473,221
496,413
369,8
73,256
490,40
420,371
16,356
239,395
54,344
363,122
62,33
200,356
462,177
179,54
77,453
13,243
409,382
141,348
342,286
158,89
140,321
31,313
292,283
18,93
77,406
407,94
248,395
156,74
216,393
15,18
464,118
71,344
395,145
430,135
203,284
289,468
250,352
472,44
133,4
71,344
344,306
364,182
290,360
271,461
344,143
134,246
85,234
150,11
112,268
220,480
62,185
497,79
364,232
42,237
313,235
353,306
45,424
473,201
165,128
402,23
3,285
272,340
338,112
14,51
79,243
273,178
53,409
366,432
234,273
416,337
233,464
41,90
268,498
286,209
401,144
128,159
357,201
448,244
380,422
254,22
96,322
67,446
95,355
411,82
62,246
77,363
48,373
477,237
459,497
115,470
421,267
405,417
95,171
472,224
229,73
168,357
427,235
346,71
136,213
328,412
255,365
30,123
473,153
206,465
213,446
13,169
417,4
215,350
28,39
347,103
265,263
150,32
259,9
180,460
196,158
454,494
376,372
330,286
137,258
449,497
486,115
490,141
459,436
133,221
495,340
432,446
298,162
168,46
416,350
86,186
453,376
301,18
434,496
44,385
319,363
205,18
411,83
165,455
472,103
143,55
390,300
9,306
0,44
324,270
493,117
388,390
42,201
44,368
251,484
474,294
404,393
40,144
331,423
314,209
39,49
127,481
395,206
362,335
21,453
432,316
314,397
360,3
415,204
471,145
413,453
178,51
148,5
247,364
198,189
232,400
202,132
406,275
85,201
291,120
291,112
267,41
310,466
19,297
465,189
394,36
0,251
158,318
85,288
490,104
465,269
451,246
380,415
288,224
422,165
207,187
359,20
415,89
124,256
352,281
63,498
315,258
30,17
315,198
447,86
29,106
199,348
275,128
391,251
477,426
87,313
250,208
2,162
58,460
138,79
416,325
248,219
144,5
377,63
339,331
170,377
422,185
135,472
224,361
38,366
48,497
155,365
320,177
474,265
283,308
346,313
432,113
362,23
409,147
48,488
225,332
75,93
286,287
156,101
463,212
149,212
227,174
430,301
478,340
148,433
289,130
481,353
226,268
492,338
494,205
66,37
159,312
209,343
465,382
55,353
74,248
15,463
336,38
439,373
49,474
130,326
225,389
456,29
496,275
25,15
182,99
480,338
184,41
346,26
458,8
476,160
327,343
452,214
14,291
468,111
165,111
62,67
14,165
313,462
108,290
435,306
178,469
14,376
436,414
81,486
10,317
279,129
28,58
266,247
11,385
210,162
119,139
46,330
164,390
63,247
316,3
306,499
59,249
162,149
400,359
146,61
182,122
444,405
382,471
83,71
144,451
166,155
480,215
98,89
245,241
144,82
147,241
114,352
50,472
488,136
470,117
459,200
88,232
154,336
118,412
154,350
129,347
386,216
316,435
141,333
281,189
424,390
359,111
421,81
70,377
422,253
107,229
489,478
258,420
330,312
409,466
480,314
400,470
382,296
95,238
422,4
407,58
423,128
422,372
462,109
457,236
231,282
337,133
257,396
227,86
371,497
0,199
0,314
26,275
466,455
389,29
257,317
156,390
341,243
343,347
114,259
356,390
228,98
91,54
136,328
10,105
185,340
388,492
215,449
391,72
427,48
344,377
170,21
215,110
402,275
462,229
227,160
151,215
431,312
303,290
224,355
273,489
352,96
367,402
125,324
130,15
425,455
97,362
51,69
164,202
28,337
311,200
390,272
383,276
3,432
460,76
186,65
82,279
24,456
310,464
115,21
182,147
351,310
3,111
98,409
169,14
201,71
166,433
278,112
97,47
159,302
98,389
398,332
272,220
20,466
265,312
165,98
262,158
67,455
198,309
184,269
379,266
60,127
126,33
426,128
472,438
56,164
471,366
322,102
5,183
401,257
201,435
461,141
481,7
282,10
238,254
166,376
265,354
422,438
186,161
278,346
328,438
67,296
254,476
431,175
231,258
108,23
237,381
415,321
56,292
87,132
78,99
315,214
286,428
103,260
215,293
366,255
322,59
497,35
66,185
186,256
180,135
122,157
42,242
456,208
242,7
160,84
459,268
80,245
102,100
480,457
321,37
72,237
423,30
295,69
167,498
96,185
482,280
263,339
485,297
19,485
119,408
416,15
214,116
161,254
357,66
457,398
293,152
83,19
63,335
419,197
351,117
473,123
313,35
94,355
246,322
402,251
260,127
459,480
319,140
90,58
458,399
